数据性质,指标,数值,单位,计算口径,核验状态
推演数据,月GMV,35000,USD,退款前下单销售额,待Seller Central核验
推演数据,月订单量,950,单,月度下单订单数,待Seller Central核验
推演数据,平均客单价,36.84,USD,35000/950,推演计算
推演数据,Sessions,9500,次,商品详情页访问量,待Seller Central核验
推演数据,整体CVR,10.00,百分比,950/9500,推演计算
推演数据,退款率,11.00,百分比,退款订单数/总订单数,待Seller Central核验
推演数据,预计退款订单量,105,单,950*11%并取整,推演估算
推演数据,预计退款金额,3850,USD,35000*11%,推演估算
推演数据,退款后销售额,31150,USD,35000-3850,推演计算
推演数据,广告曝光量,800000,次,Sponsored Ads曝光量,待广告报表核验
推演数据,广告点击量,4000,次,Sponsored Ads点击量,待广告报表核验
推演数据,CTR,0.50,百分比,4000/800000,推演计算
推演数据,CPC,0.75,USD,3000/4000,推演计算
推演数据,广告花费,3000,USD,Sponsored Ads月度花费,待广告报表核验
推演数据,广告归因销售额,20000,USD,广告归因订单销售额,待广告报表核验
推演数据,ACOS,15.00,百分比,3000/20000,推演计算
推演数据,TACOS,8.57,百分比,3000/35000,推演计算
推演数据,广告归因订单量,533,单,按广告CVR与客单价配平,推演估算
推演数据,广告CVR,13.33,百分比,533/4000,推演计算
推演数据,广告订单客单价,37.52,USD,20000/533,推演计算
推演数据,自然销售额,15000,USD,35000-20000,推演计算
推演数据,广告销售占比,57.14,百分比,20000/35000,推演计算
推演数据,自然销售占比,42.86,百分比,15000/35000,推演计算
